CONSINEE,CONSINEE_ADDRESS,PORT_CODE,FOREIGN_PORT,FOREIGN_COUNTRY
M/S.KOENIG LEATHER WEAR GMBH,N?A,FRA,Frankfurt/Main - Frankfurt Airport (Rhein-Main-Flughafen),Germany
TO THE ORDER OF,N?A,LRD,Laredo (TX),United States
TO THE ORDER OF,N?A,LRD,Laredo (TX),United States
TO THE ORDER OF,N?A,LRD,Laredo (TX),United States
TO THE ORDER OF,N?A,LRD,Laredo (TX),United States
TO THE ORDER OF,N?A,LRD,Laredo (TX),United States
TO THE ORDER OF,N?A,LRD,Laredo (TX),United States
MOZAA ABDALHA ALMAIZER YAZN,N?A,RUH,Riyadh - King Khaled International,Saudi Arabia
MOZAA ABDALHA ALMAIZER YAZN,N?A,RUH,Riyadh - King Khaled International,Saudi Arabia
MOZAA ABDALHA ALMAIZER YAZN,N?A,RUH,Riyadh - King Khaled International,Saudi Arabia
MOZAA ABDALHA ALMAIZER YAZN,N?A,RUH,Riyadh - King Khaled International,Saudi Arabia
MOZAA ABDALHA ALMAIZER YAZN,N?A,RUH,Riyadh - King Khaled International,Saudi Arabia
MOZAA ABDALHA ALMAIZER YAZN,N?A,RUH,Riyadh - King Khaled International,Saudi Arabia
MOZAA ABDALHA ALMAIZER YAZN,N?A,RUH,Riyadh - King Khaled International,Saudi Arabia
MOZAA ABDALHA ALMAIZER YAZN,N?A,RUH,Riyadh - King Khaled International,Saudi Arabia
MOZAA ABDALHA ALMAIZER YAZN,N?A,RUH,Riyadh - King Khaled International,Saudi Arabia
MOZAA ABDALHA ALMAIZER YAZN,N?A,RUH,Riyadh - King Khaled International,Saudi Arabia
MOZAA ABDALHA ALMAIZER YAZN,N?A,RUH,Riyadh - King Khaled International,Saudi Arabia
MOZAA ABDALHA ALMAIZER YAZN,N?A,RUH,Riyadh - King Khaled International,Saudi Arabia
MOZAA ABDALHA ALMAIZER YAZN,N?A,RUH,Riyadh - King Khaled International,Saudi Arabia
MOZAA ABDALHA ALMAIZER YAZN,N?A,RUH,Riyadh - King Khaled International,Saudi Arabia
MOZAA ABDALHA ALMAIZER YAZN,N?A,RUH,Riyadh - King Khaled International,Saudi Arabia
MAF HYPERMARKETS QATAR W.L.L,N?A,DOH,Doha - Doha International Airport,Qatar
SILVER HILLS FISH FOUNDATION,N?A,JED,Jeddah - King Abdulaziz International,Saudi Arabia
SILVER HILLS FISH FOUNDATION,N?A,JED,Jeddah - King Abdulaziz International,Saudi Arabia
SILVER HILLS FISH FOUNDATION,N?A,JED,Jeddah - King Abdulaziz International,Saudi Arabia
SILVER HILLS FISH FOUNDATION,N?A,JED,Jeddah - King Abdulaziz International,Saudi Arabia
SEA FREEZE GENERAL TRADING LLC,N?A,DXB,Dubai - Dubai International Airport,United Arab Emirates
SEA FREEZE GENERAL TRADING LLC,N?A,DXB,Dubai - Dubai International Airport,United Arab Emirates
SEA FREEZE GENERAL TRADING LLC,N?A,DXB,Dubai - Dubai International Airport,United Arab Emirates
SEA FREEZE GENERAL TRADING LLC,N?A,DXB,Dubai - Dubai International Airport,United Arab Emirates
SILVER HILLS FISH FOUNDATION,N?A,JED,Jeddah - King Abdulaziz International,Saudi Arabia
SEA FREEZE GENERAL TRADING LLC,N?A,DXB,Dubai - Dubai International Airport,United Arab Emirates
SEA FREEZE GENERAL TRADING LLC,N?A,DXB,Dubai - Dubai International Airport,United Arab Emirates
SEA FREEZE GENERAL TRADING LLC,N?A,DXB,Dubai - Dubai International Airport,United Arab Emirates
SEA FREEZE GENERAL TRADING LLC,N?A,DXB,Dubai - Dubai International Airport,United Arab Emirates
SEA FREEZE GENERAL TRADING LLC,N?A,DXB,Dubai - Dubai International Airport,United Arab Emirates
SEA FREEZE GENERAL TRADING LLC,N?A,DXB,Dubai - Dubai International Airport,United Arab Emirates
SEA FREEZE GENERAL TRADING LLC,N?A,DXB,Dubai - Dubai International Airport,United Arab Emirates
SEA FREEZE GENERAL TRADING LLC,N?A,DXB,Dubai - Dubai International Airport,United Arab Emirates
SEA FREEZE GENERAL TRADING LLC,N?A,DXB,Dubai - Dubai International Airport,United Arab Emirates
